phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	21961b33	1	1	0	0	1	0	0.0010	9	9000.000	678.57	678570.00	75.40	3.76	0.0000	0.00	0.00	8964.29	14	0	0	3	0	78.57	1.000	1.029	0.00	0.00	0.00	80.00	94.64
baseline	golden	sequential	d0ed08da	1	1	0	0	1	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	0.986	0.00	0.00	0.00	80.00	93.33
baseline	golden	sequential	1375cb89	1	1	0	0	1	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	0.986	0.00	0.00	0.00	80.00	93.33
baseline	longrun	sequential	b53c7a81	1	33	0	0	1	0	0.0040	10	2500.000	650.00	162500.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	longrun	sequential	504da795	1	33	0	0	1	0	0.0040	10	2500.000	650.00	162500.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
capacity_homogeneous	golden	concurrent2	f5a4296c	0	0	0	0	0	0	0.0000	0	0.000	0.00	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0	0	0	0	0	0.00	0.000	0.000	0.00	0.00	0.00	0.00	75.00
capacity_homogeneous	golden	concurrent2	c2abbb51	0	0	0	0	0	0	0.0000	0	0.000	0.00	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0	0	0	0	0	0.00	0.000	0.000	0.00	0.00	0.00	0.00	75.00
capacity_homogeneous	longrun	concurrent2	5816aa80	0	0	0	0	0	0	0.0000	0	0.000	0.00	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0	0	0	0	0	0.00	0.000	0.000	0.00	0.00	0.00	0.00	75.00
capacity_homogeneous	longrun	concurrent2	19ee5732	0	0	0	0	0	0	0.0000	0	0.000	0.00	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0	0	0	0	0	0.00	0.000	0.000	0.00	0.00	0.00	0.00	75.00
capacity_mixed	golden	concurrent2	6636ec06	0	0	0	0	0	0	0.0000	0	0.000	0.00	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0	0	0	0	0	0.00	0.000	0.000	0.00	0.00	0.00	0.00	75.00
capacity_mixed	longrun	concurrent2	cf96e7c0	0	0	0	0	0	0	0.0000	0	0.000	0.00	0.00	0.00	0.00	0.0000	0.00	0.00	0.00	0	0	0	0	0	0.00	0.000	0.000	0.00	0.00	0.00	0.00	75.00
