phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	234f7b62	1	8	0	1	1	0	0.0020	59	29500.000	253.97	126985.00	4.30	1.41	0.0000	0.00	0.00	14523.81	63	0	0	28	0	55.56	1.000	1.000	0.00	0.00	0.00	40.00	68.89
baseline	golden	sequential	12aa880e	1	8	0	1	1	0	0.0020	59	29500.000	253.97	126985.00	4.30	1.41	0.0000	0.00	0.00	14523.81	63	0	0	28	0	55.56	1.000	1.000	0.00	0.00	0.00	40.00	68.89
baseline	golden	sequential	e7a3e0b7	1	8	0	1	1	0	0.0020	59	29500.000	253.97	126985.00	4.30	1.41	0.0000	0.00	0.00	14523.81	63	0	0	28	0	55.56	1.000	1.000	0.00	0.00	0.00	40.00	68.89
baseline	longrun	sequential	8619cf54	1	3	0	1	1	0	0.0100	28	2800.000	257.82	25782.00	9.21	1.43	0.0001	0.00	2578200.00	6796.87	32	0	0	13	0	59.38	1.000	1.000	0.00	0.00	0.00	40.00	69.84
baseline	longrun	sequential	688851b0	1	3	0	1	1	0	0.0100	28	2800.000	257.82	25782.00	9.21	1.43	0.0001	0.00	2578200.00	6796.87	32	0	0	13	0	59.38	1.000	1.000	0.00	0.00	0.00	40.00	69.84
capacity_homogeneous	golden	concurrent2	089de9b7	1	8	0	1	1	0	0.0050	118	23600.000	253.97	50794.00	2.15	1.41	0.0001	0.00	2539700.00	29023.81	126	0	0	56	0	55.56	2.500	0.400	0.00	0.00	0.00	40.00	43.89
capacity_homogeneous	golden	concurrent2	828ce981	1	8	0	1	1	0	0.0040	118	29500.000	253.97	63492.50	2.15	1.41	0.0000	0.00	0.00	29023.81	126	0	0	56	0	55.56	2.000	0.500	0.00	0.00	0.00	40.00	43.89
capacity_homogeneous	longrun	concurrent2	54ba3676	1	3	0	1	1	0	0.0200	56	2800.000	257.82	12891.00	4.60	1.43	0.0002	0.00	1289100.00	13546.87	64	0	0	26	0	59.38	2.000	0.500	0.00	0.00	0.00	40.00	44.84
capacity_homogeneous	longrun	concurrent2	0726fcc4	1	3	0	1	1	0	0.0200	56	2800.000	257.82	12891.00	4.60	1.43	0.0002	0.00	1289100.00	13546.87	64	0	0	26	0	59.38	2.000	0.500	0.00	0.00	0.00	40.00	44.84
capacity_mixed	golden	concurrent2	a73a58cf	1	8	0	1	1	0	0.0020	59	29500.000	253.97	126985.00	4.30	1.41	0.0000	0.00	0.00	14523.81	63	0	0	28	0	55.56	1.000	1.000	0.00	0.00	0.00	40.00	68.89
capacity_mixed	longrun	concurrent2	0f3a7aa4	1	3	0	1	1	0	0.0100	28	2800.000	257.82	25782.00	9.21	1.43	0.0001	0.00	2578200.00	6796.87	32	0	0	13	0	59.38	1.000	1.000	0.00	0.00	0.00	40.00	69.84
