phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	15badc75	1	8	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	golden	sequential	b7ab610c	1	8	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	golden	sequential	7e9a75a0	1	8	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	longrun	sequential	83697ee3	1	33	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	longrun	sequential	220728db	1	33	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_homogeneous	golden	concurrent2	f488eb42	1	8	0	0	1	0	0.0000	4	0.000	1500.00	0.00	375.00	8.31	0.0000	0.00	0.00	1500.00	4	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_homogeneous	golden	concurrent2	de3b0515	1	8	0	0	1	0	0.0000	4	0.000	1500.00	0.00	375.00	8.31	0.0000	0.00	0.00	1500.00	4	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_homogeneous	longrun	concurrent2	7488e1fe	1	33	0	0	1	0	0.0000	4	0.000	1500.00	0.00	375.00	8.31	0.0000	0.00	0.00	1500.00	4	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_homogeneous	longrun	concurrent2	1b4a48f9	1	33	0	0	1	0	0.0000	4	0.000	1500.00	0.00	375.00	8.31	0.0000	0.00	0.00	1500.00	4	0	0	1	0	75.00	0.000	0.000	0.00	0.00	0.00	20.00	93.75
capacity_mixed	golden	concurrent2	48816195	1	8	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_mixed	longrun	concurrent2	84523090	1	33	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	1	0	50.00	0.000	0.000	0.00	0.00	0.00	20.00	87.50
