phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	1f4eb3e2	1	1	0	0	1	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	golden	sequential	3b73ae4b	1	1	0	0	1	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	golden	sequential	da188402	1	1	0	0	1	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	longrun	sequential	35fe7184	1	1	0	0	1	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	0.667	1.333	0.00	0.00	0.00	80.00	93.33
baseline	longrun	sequential	ed0d2952	1	1	0	0	1	0	0.0020	10	5000.000	650.00	325000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.333	0.667	0.00	0.00	0.00	80.00	76.67
capacity_homogeneous	golden	concurrent2	d8ffc970	1	1	0	0	1	0	0.0030	20	6666.667	650.00	216666.67	32.50	3.60	0.0000	0.00	0.00	18200.00	30	0	0	8	0	73.33	3.000	0.333	0.00	0.00	0.00	80.00	68.33
capacity_homogeneous	golden	concurrent2	5270dc7b	1	1	0	0	1	0	0.0030	20	6666.667	650.00	216666.67	32.50	3.60	0.0000	0.00	0.00	18200.00	30	0	0	8	0	73.33	3.000	0.333	0.00	0.00	0.00	80.00	68.33
capacity_homogeneous	longrun	concurrent2	4887e486	1	1	0	0	1	0	0.0030	20	6666.667	650.00	216666.67	32.50	3.60	0.0000	0.00	0.00	18200.00	30	0	0	8	0	73.33	2.000	0.444	0.00	0.00	0.00	80.00	68.33
capacity_homogeneous	longrun	concurrent2	f6aad149	1	1	0	0	1	0	0.0030	19	6333.333	663.80	221266.67	34.94	3.68	0.0000	0.00	0.00	17956.90	29	0	0	7	0	75.86	2.000	0.454	0.00	0.00	0.00	80.00	68.97
capacity_mixed	golden	concurrent2	4a37125a	1	1	0	0	1	0	0.0020	10	5000.000	650.00	325000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	2.000	0.500	0.00	0.00	0.00	80.00	68.33
capacity_mixed	longrun	concurrent2	2430491e	1	1	0	0	1	0	0.0020	10	5000.000	650.00	325000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.333	0.667	0.00	0.00	0.00	80.00	76.67
