timestamp,circle,ceremony,dor_budget,dor_actual,compliance,status
"2026-01-10T09:19:58Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-12T20:57:18Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-11T02:52:04Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-11T09:26:57Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-10T18:40:44Z","intuitive","synthesis",25,0,0,"compliant"
"2026-01-09T15:37:42Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-09T16:37:13Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-08T22:00:11Z","analyst","refine",30,0,0,"compliant"
"2026-01-08T20:51:45Z","innovator","retro",10,0,1,"compliant"
"2026-01-08T21:09:32Z","assessor","wsjf",15,0,0,"compliant"
"2026-01-12T21:36:53Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-11T12:45:40Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-10T11:45:20Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-09T17:52:01Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-08T20:57:52Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-12T16:34:44Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-09T01:07:22Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-08T21:43:17Z","orchestrator","standup",5,0,0,"compliant"
"2026-01-08T21:34:42Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-10T18:50:28Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-09T04:04:56Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-10T20:50:09Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-11T22:01:27Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-10T23:01:46Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-08T21:20:24Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-12T19:30:16Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-08T23:53:55Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-12T19:44:17Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-12T05:07:53Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-09T15:47:06Z","analyst","refine",30,0,0,"compliant"
"2026-01-10T19:04:57Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-11T15:27:33Z","orchestrator","standup",5,0,2,"compliant"
"2026-01-09T10:01:47Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-12T18:13:35Z","orchestrator","standup",5,0,1,"compliant"
"2026-01-08T20:44:57Z","seeker","replenish",20,0,0,"compliant"
"2026-01-08T21:59:56Z","analyst","refine",30,0,0,"compliant"
